Altium Designer Pick and Place Locations
C:\MyFiles\x-io\Open-Source\Magnetic-Sequencer\PCB\Project Outputs for Magnetic-Sequencer\Pick Place\Pick Place for Magnetic-Sequencer.csv

========================================================================================================================
File Design Information:

Date:       05/02/24
Time:       18:22
Revision:   9eafbfec3ce1daa469b058583372330dfccaa105
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment"
"C2_CH1","45.0000mm","40.0000mm","TopLayer","90","1uF"
"C1_CH1","37.0000mm","44.5000mm","TopLayer","90","100nF"
"U1_CH1","40.0000mm","44.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
"U2_CH1","40.0000mm","40.0000mm","TopLayer","0","SK6812MINI-E"
"D1","196.5000mm","8.5000mm","TopLayer","180","PGB1010603MR"
"D2","199.5000mm","8.5000mm","TopLayer","0","PGB1010603MR"
"D3","193.5000mm","8.5000mm","TopLayer","180","PGB1010603MR"
"J1","197.5000mm","4.3751mm","TopLayer","0","Molex 217179-0001"
"R20","204.5000mm","4.5000mm","TopLayer","180","5.1kR"
"C10","204.5000mm","3.0000mm","TopLayer","180","4.7nF"
"R21","204.5000mm","1.5000mm","TopLayer","0","1MR"
"R2","163.0000mm","11.0000mm","TopLayer","90","470R"
"C11","146.0000mm","9.0000mm","TopLayer","90","10uF"
"C12","140.0000mm","9.0000mm","TopLayer","270","10uF"
"U5","143.0000mm","9.0000mm","TopLayer","270","TPS7A0533PDBZ"
"R19","204.5000mm","6.0000mm","TopLayer","180","5.1kR"
"C3","147.0000mm","14.0000mm","TopLayer","90","100nF"
"C6","152.5000mm","7.0000mm","TopLayer","180","100nF"
"C8","155.5000mm","7.0000mm","TopLayer","180","100nF"
"R1","149.5000mm","7.0000mm","TopLayer","0","5.1kR"
"C7","166.0000mm","7.5000mm","TopLayer","90","100nF"
"Y1","163.0000mm","7.5000mm","TopLayer","180","ECS-2520MV-240-BL-TR"
"R4","167.0000mm","21.5000mm","TopLayer","180","1.2kR"
"R5","167.0000mm","20.0000mm","TopLayer","180","1.2kR"
"R6","167.0000mm","18.5000mm","TopLayer","180","1.2kR"
"R7","167.0000mm","17.0000mm","TopLayer","180","1.2kR"
"R8","167.0000mm","15.5000mm","TopLayer","180","1.2kR"
"R9","167.0000mm","14.0000mm","TopLayer","180","1.2kR"
"R10","167.0000mm","12.5000mm","TopLayer","180","1.2kR"
"R12","143.0000mm","21.5000mm","TopLayer","180","470R"
"R13","143.0000mm","20.0000mm","TopLayer","180","470R"
"R14","143.0000mm","18.5000mm","TopLayer","180","470R"
"R15","143.0000mm","17.0000mm","TopLayer","180","470R"
"R16","143.0000mm","15.5000mm","TopLayer","180","470R"
"R17","143.0000mm","14.0000mm","TopLayer","180","470R"
"R18","143.0000mm","12.5000mm","TopLayer","180","470R"
"C4","156.5000mm","23.0000mm","TopLayer","180","10uF"
"C5","153.5000mm","23.0000mm","TopLayer","0","100nF"
"R3","167.0000mm","23.0000mm","TopLayer","180","1.2kR"
"R11","143.0000mm","23.0000mm","TopLayer","180","470R"
"C9","151.0000mm","26.0000mm","TopLayer","270","100nF"
"U4","148.0000mm","26.0000mm","TopLayer","180","SN74LV1T34DBV"
"J2","115.0000mm","3.8041mm","TopLayer","0","Molex 53261-0671"
"J3","85.0000mm","3.8041mm","TopLayer","0","Molex 53261-0671"
"R22","125.0000mm","6.0000mm","TopLayer","0","470R"
"R23","125.0000mm","4.5000mm","TopLayer","0","470R"
"R24","125.0000mm","3.0000mm","TopLayer","0","470R"
"R25","125.0000mm","1.5000mm","TopLayer","0","470R"
"U3","155.0000mm","15.0000mm","TopLayer","0","PIC32MX470F512H-I/PT"
"C1_CH2","82.0000mm","44.5000mm","TopLayer","90","100nF"
"C1_CH3","127.0000mm","44.5000mm","TopLayer","90","100nF"
"C1_CH4","172.0000mm","44.5000mm","TopLayer","90","100nF"
"C1_CH5","217.0000mm","44.5000mm","TopLayer","90","100nF"
"C1_CH6","262.0000mm","44.5000mm","TopLayer","90","100nF"
"C1_CH7","307.0000mm","44.5000mm","TopLayer","90","100nF"
"C1_CH8","352.0000mm","44.5000mm","TopLayer","90","100nF"
"C1_CH9","37.0000mm","89.5000mm","TopLayer","90","100nF"
"C1_CH10","82.0000mm","89.5000mm","TopLayer","90","100nF"
"C1_CH11","127.0000mm","89.5000mm","TopLayer","90","100nF"
"C1_CH12","172.0000mm","89.5000mm","TopLayer","90","100nF"
"C1_CH13","217.0000mm","89.5000mm","TopLayer","90","100nF"
"C1_CH14","262.0000mm","89.5000mm","TopLayer","90","100nF"
"C1_CH15","307.0000mm","89.5000mm","TopLayer","90","100nF"
"C1_CH16","352.0000mm","89.5000mm","TopLayer","90","100nF"
"C1_CH17","37.0000mm","134.5000mm","TopLayer","90","100nF"
"C1_CH18","82.0000mm","134.5000mm","TopLayer","90","100nF"
"C1_CH19","127.0000mm","134.5000mm","TopLayer","90","100nF"
"C1_CH20","172.0000mm","134.5000mm","TopLayer","90","100nF"
"C1_CH21","217.0000mm","134.5000mm","TopLayer","90","100nF"
"C1_CH22","262.0000mm","134.5000mm","TopLayer","90","100nF"
"C1_CH23","307.0000mm","134.5000mm","TopLayer","90","100nF"
"C1_CH24","352.0000mm","134.5000mm","TopLayer","90","100nF"
"C1_CH25","37.0000mm","179.5000mm","TopLayer","90","100nF"
"C1_CH26","82.0000mm","179.5000mm","TopLayer","90","100nF"
"C1_CH27","127.0000mm","179.5000mm","TopLayer","90","100nF"
"C1_CH28","172.0000mm","179.5000mm","TopLayer","90","100nF"
"C1_CH29","217.0000mm","179.5000mm","TopLayer","90","100nF"
"C1_CH30","262.0000mm","179.5000mm","TopLayer","90","100nF"
"C1_CH31","307.0000mm","179.5000mm","TopLayer","90","100nF"
"C1_CH32","352.0000mm","179.5000mm","TopLayer","90","100nF"
"C1_CH33","37.0000mm","224.5000mm","TopLayer","90","100nF"
"C1_CH34","82.0000mm","224.5000mm","TopLayer","90","100nF"
"C1_CH35","127.0000mm","224.5000mm","TopLayer","90","100nF"
"C1_CH36","172.0000mm","224.5000mm","TopLayer","90","100nF"
"C1_CH37","217.0000mm","224.5000mm","TopLayer","90","100nF"
"C1_CH38","262.0000mm","224.5000mm","TopLayer","90","100nF"
"C1_CH39","307.0000mm","224.5000mm","TopLayer","90","100nF"
"C1_CH40","352.0000mm","224.5000mm","TopLayer","90","100nF"
"C1_CH41","37.0000mm","269.5000mm","TopLayer","90","100nF"
"C1_CH42","82.0000mm","269.5000mm","TopLayer","90","100nF"
"C1_CH43","127.0000mm","269.5000mm","TopLayer","90","100nF"
"C1_CH44","172.0000mm","269.5000mm","TopLayer","90","100nF"
"C1_CH45","217.0000mm","269.5000mm","TopLayer","90","100nF"
"C1_CH46","262.0000mm","269.5000mm","TopLayer","90","100nF"
"C1_CH47","307.0000mm","269.5000mm","TopLayer","90","100nF"
"C1_CH49","37.0000mm","314.5000mm","TopLayer","90","100nF"
"C1_CH50","82.0000mm","314.5000mm","TopLayer","90","100nF"
"C1_CH51","127.0000mm","314.5000mm","TopLayer","90","100nF"
"C1_CH52","172.0000mm","314.5000mm","TopLayer","90","100nF"
"C1_CH53","217.0000mm","314.5000mm","TopLayer","90","100nF"
"C1_CH54","262.0000mm","314.5000mm","TopLayer","90","100nF"
"C1_CH55","307.0000mm","314.5000mm","TopLayer","90","100nF"
"C1_CH56","352.0000mm","314.5000mm","TopLayer","90","100nF"
"C1_CH57","37.0000mm","359.5000mm","TopLayer","90","100nF"
"C1_CH58","82.0000mm","359.5000mm","TopLayer","90","100nF"
"C1_CH59","127.0000mm","359.5000mm","TopLayer","90","100nF"
"C1_CH60","172.0000mm","359.5000mm","TopLayer","90","100nF"
"C1_CH61","217.0000mm","359.5000mm","TopLayer","90","100nF"
"C1_CH62","262.0000mm","359.5000mm","TopLayer","90","100nF"
"C1_CH63","307.0000mm","359.5000mm","TopLayer","90","100nF"
"C1_CH64","352.0000mm","359.5000mm","TopLayer","90","100nF"
"C2_CH2","90.0000mm","40.0000mm","TopLayer","90","1uF"
"C2_CH3","135.0000mm","40.0000mm","TopLayer","90","1uF"
"C2_CH4","180.0000mm","40.0000mm","TopLayer","90","1uF"
"C2_CH5","225.0000mm","40.0000mm","TopLayer","90","1uF"
"C2_CH6","270.0000mm","40.0000mm","TopLayer","90","1uF"
"C2_CH7","315.0000mm","40.0000mm","TopLayer","90","1uF"
"C2_CH8","360.0000mm","40.0000mm","TopLayer","90","1uF"
"C2_CH9","45.0000mm","85.0000mm","TopLayer","90","1uF"
"C2_CH10","90.0000mm","85.0000mm","TopLayer","90","1uF"
"C2_CH11","135.0000mm","85.0000mm","TopLayer","90","1uF"
"C2_CH12","180.0000mm","85.0000mm","TopLayer","90","1uF"
"C2_CH13","225.0000mm","85.0000mm","TopLayer","90","1uF"
"C2_CH14","270.0000mm","85.0000mm","TopLayer","90","1uF"
"C2_CH15","315.0000mm","85.0000mm","TopLayer","90","1uF"
"C2_CH16","360.0000mm","85.0000mm","TopLayer","90","1uF"
"C2_CH17","45.0000mm","130.0000mm","TopLayer","90","1uF"
"C2_CH18","90.0000mm","130.0000mm","TopLayer","90","1uF"
"C2_CH19","135.0000mm","130.0000mm","TopLayer","90","1uF"
"C2_CH20","180.0000mm","130.0000mm","TopLayer","90","1uF"
"C2_CH21","225.0000mm","130.0000mm","TopLayer","90","1uF"
"C2_CH22","270.0000mm","130.0000mm","TopLayer","90","1uF"
"C2_CH23","315.0000mm","130.0000mm","TopLayer","90","1uF"
"C2_CH24","360.0000mm","130.0000mm","TopLayer","90","1uF"
"C2_CH25","45.0000mm","175.0000mm","TopLayer","90","1uF"
"C2_CH26","90.0000mm","175.0000mm","TopLayer","90","1uF"
"C2_CH27","135.0000mm","175.0000mm","TopLayer","90","1uF"
"C2_CH28","180.0000mm","175.0000mm","TopLayer","90","1uF"
"C2_CH29","225.0000mm","175.0000mm","TopLayer","90","1uF"
"C2_CH30","270.0000mm","175.0000mm","TopLayer","90","1uF"
"C2_CH31","315.0000mm","175.0000mm","TopLayer","90","1uF"
"C2_CH32","360.0000mm","175.0000mm","TopLayer","90","1uF"
"C2_CH33","45.0000mm","220.0000mm","TopLayer","90","1uF"
"C2_CH34","90.0000mm","220.0000mm","TopLayer","90","1uF"
"C2_CH35","135.0000mm","220.0000mm","TopLayer","90","1uF"
"C2_CH36","180.0000mm","220.0000mm","TopLayer","90","1uF"
"C2_CH37","225.0000mm","220.0000mm","TopLayer","90","1uF"
"C2_CH38","270.0000mm","220.0000mm","TopLayer","90","1uF"
"C2_CH39","315.0000mm","220.0000mm","TopLayer","90","1uF"
"C2_CH40","360.0000mm","220.0000mm","TopLayer","90","1uF"
"C2_CH41","45.0000mm","265.0000mm","TopLayer","90","1uF"
"C2_CH42","90.0000mm","265.0000mm","TopLayer","90","1uF"
"C2_CH43","135.0000mm","265.0000mm","TopLayer","90","1uF"
"C2_CH44","180.0000mm","265.0000mm","TopLayer","90","1uF"
"C2_CH45","225.0000mm","265.0000mm","TopLayer","90","1uF"
"C2_CH46","270.0000mm","265.0000mm","TopLayer","90","1uF"
"C2_CH47","315.0000mm","265.0000mm","TopLayer","90","1uF"
"C2_CH49","45.0000mm","310.0000mm","TopLayer","90","1uF"
"C2_CH50","90.0000mm","310.0000mm","TopLayer","90","1uF"
"C2_CH51","135.0000mm","310.0000mm","TopLayer","90","1uF"
"C2_CH52","180.0000mm","310.0000mm","TopLayer","90","1uF"
"C2_CH53","225.0000mm","310.0000mm","TopLayer","90","1uF"
"C2_CH54","270.0000mm","310.0000mm","TopLayer","90","1uF"
"C2_CH55","315.0000mm","310.0000mm","TopLayer","90","1uF"
"C2_CH56","360.0000mm","310.0000mm","TopLayer","90","1uF"
"C2_CH57","45.0000mm","355.0000mm","TopLayer","90","1uF"
"C2_CH58","90.0000mm","355.0000mm","TopLayer","90","1uF"
"C2_CH59","135.0000mm","355.0000mm","TopLayer","90","1uF"
"C2_CH60","180.0000mm","355.0000mm","TopLayer","90","1uF"
"C2_CH61","225.0000mm","355.0000mm","TopLayer","90","1uF"
"C2_CH62","270.0000mm","355.0000mm","TopLayer","90","1uF"
"C2_CH63","315.0000mm","355.0000mm","TopLayer","90","1uF"
"C2_CH64","360.0000mm","355.0000mm","TopLayer","90","1uF"
"U1_CH2","85.0000mm","44.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
"U1_CH3","130.0000mm","44.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
"U1_CH4","175.0000mm","44.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
"U1_CH5","220.0000mm","44.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
"U1_CH6","265.0000mm","44.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
"U1_CH7","310.0000mm","44.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
"U1_CH8","355.0000mm","44.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
"U1_CH9","40.0000mm","89.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
"U1_CH10","85.0000mm","89.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
"U1_CH11","130.0000mm","89.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
"U1_CH12","175.0000mm","89.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
"U1_CH13","220.0000mm","89.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
"U1_CH14","265.0000mm","89.0000mm","TopLayer","90","TLV493DA1B6HTSA2"
